Mes,Fecha,Día de semana,Evento,Color
Abril 2025,2025-04-01,Martes,,
Abril 2025,2025-04-02,Miércoles,,
Abril 2025,2025-04-03,Jueves,,
Abril 2025,2025-04-04,Viernes,,
Abril 2025,2025-04-05,Sábado,,
Abril 2025,2025-04-06,Domingo,,
Abril 2025,2025-04-07,Lunes,,
Abril 2025,2025-04-08,Martes,,
Abril 2025,2025-04-09,Miércoles,Cumpleaños Medio Ciclo · La Rueda de la Fortuna (Dorado),DORADO
Abril 2025,2025-04-10,Jueves,,
Abril 2025,2025-04-11,Viernes,,
Abril 2025,2025-04-12,Sábado,,
Abril 2025,2025-04-13,Domingo,,
Abril 2025,2025-04-14,Lunes,,
Abril 2025,2025-04-15,Martes,,
Abril 2025,2025-04-16,Miércoles,,
Abril 2025,2025-04-17,Jueves,,
Abril 2025,2025-04-18,Viernes,,
Abril 2025,2025-04-19,Sábado,,
Abril 2025,2025-04-20,Domingo,,
Abril 2025,2025-04-21,Lunes,,
Abril 2025,2025-04-22,Martes,,
Abril 2025,2025-04-23,Miércoles,,
Abril 2025,2025-04-24,Jueves,,
Abril 2025,2025-04-25,Viernes,,
Abril 2025,2025-04-26,Sábado,,
Abril 2025,2025-04-27,Domingo,,
Abril 2025,2025-04-28,Lunes,,
Abril 2025,2025-04-29,Martes,,
Abril 2025,2025-04-30,Miércoles,,
Mayo 2025,2025-05-01,Jueves,,
Mayo 2025,2025-05-02,Viernes,,
Mayo 2025,2025-05-03,Sábado,,
Mayo 2025,2025-05-04,Domingo,,
Mayo 2025,2025-05-05,Lunes,,
Mayo 2025,2025-05-06,Martes,,
Mayo 2025,2025-05-07,Miércoles,,
Mayo 2025,2025-05-08,Jueves,,
Mayo 2025,2025-05-09,Viernes,,
Mayo 2025,2025-05-10,Sábado,,
Mayo 2025,2025-05-11,Domingo,,
Mayo 2025,2025-05-12,Lunes,,
Mayo 2025,2025-05-13,Martes,,
Mayo 2025,2025-05-14,Miércoles,,
Mayo 2025,2025-05-15,Jueves,,
Mayo 2025,2025-05-16,Viernes,,
Mayo 2025,2025-05-17,Sábado,,
Mayo 2025,2025-05-18,Domingo,,
Mayo 2025,2025-05-19,Lunes,,
Mayo 2025,2025-05-20,Martes,,
Mayo 2025,2025-05-21,Miércoles,,
Mayo 2025,2025-05-22,Jueves,,
Mayo 2025,2025-05-23,Viernes,,
Mayo 2025,2025-05-24,Sábado,,
Mayo 2025,2025-05-25,Domingo,,
Mayo 2025,2025-05-26,Lunes,,
Mayo 2025,2025-05-27,Martes,,
Mayo 2025,2025-05-28,Miércoles,,
Mayo 2025,2025-05-29,Jueves,,
Mayo 2025,2025-05-30,Viernes,,
Mayo 2025,2025-05-31,Sábado,,
Junio 2025,2025-06-01,Domingo,,
Junio 2025,2025-06-02,Lunes,,
Junio 2025,2025-06-03,Martes,,
Junio 2025,2025-06-04,Miércoles,,
Junio 2025,2025-06-05,Jueves,,
Junio 2025,2025-06-06,Viernes,,
Junio 2025,2025-06-07,Sábado,,
Junio 2025,2025-06-08,Domingo,,
Junio 2025,2025-06-09,Lunes,,
Junio 2025,2025-06-10,Martes,,
Junio 2025,2025-06-11,Miércoles,,
Junio 2025,2025-06-12,Jueves,,
Junio 2025,2025-06-13,Viernes,,
Junio 2025,2025-06-14,Sábado,,
Junio 2025,2025-06-15,Domingo,,
Junio 2025,2025-06-16,Lunes,,
Junio 2025,2025-06-17,Martes,,
Junio 2025,2025-06-18,Miércoles,,
Junio 2025,2025-06-19,Jueves,,
Junio 2025,2025-06-20,Viernes,,
Junio 2025,2025-06-21,Sábado,,
Junio 2025,2025-06-22,Domingo,,
Junio 2025,2025-06-23,Lunes,,
Junio 2025,2025-06-24,Martes,,
Junio 2025,2025-06-25,Miércoles,,
Junio 2025,2025-06-26,Jueves,,
Junio 2025,2025-06-27,Viernes,,
Junio 2025,2025-06-28,Sábado,,
Junio 2025,2025-06-29,Domingo,,
Junio 2025,2025-06-30,Lunes,,
Julio 2025,2025-07-01,Martes,,
Julio 2025,2025-07-02,Miércoles,,
Julio 2025,2025-07-03,Jueves,,
Julio 2025,2025-07-04,Viernes,,
Julio 2025,2025-07-05,Sábado,,
Julio 2025,2025-07-06,Domingo,,
Julio 2025,2025-07-07,Lunes,,
Julio 2025,2025-07-08,Martes,,
Julio 2025,2025-07-09,Miércoles,,
Julio 2025,2025-07-10,Jueves,,
