Mes,Día,Día de semana,Evento,Código Color,Arcano,Microacción,Notas
Abril 2025,1,Martes,,,,,
Abril 2025,2,Miércoles,,,,,
Abril 2025,3,Jueves,,,,,
Abril 2025,4,Viernes,,,,,
Abril 2025,5,Sábado,,,,,
Abril 2025,6,Domingo,,,,,
Abril 2025,7,Lunes,,,,,
Abril 2025,8,Martes,,,,,
Abril 2025,9,Miércoles,Cumpleaños Medio Ciclo (6 meses antes),Dorado,La Rueda de la Fortuna,Ejercicio de gratitud por 9 giros clave del último año.,Mitad de tu Año Personal 1: evaluar avances y ajustar.
Abril 2025,10,Jueves,,,,,
Abril 2025,11,Viernes,,,,,
Abril 2025,12,Sábado,,,,,
Abril 2025,13,Domingo,,,,,
Abril 2025,14,Lunes,,,,,
Abril 2025,15,Martes,,,,,
Abril 2025,16,Miércoles,,,,,
Abril 2025,17,Jueves,,,,,
Abril 2025,18,Viernes,,,,,
Abril 2025,19,Sábado,,,,,
Abril 2025,20,Domingo,,,,,
Abril 2025,21,Lunes,,,,,
Abril 2025,22,Martes,,,,,
Abril 2025,23,Miércoles,,,,,
Abril 2025,24,Jueves,,,,,
Abril 2025,25,Viernes,,,,,
Abril 2025,26,Sábado,,,,,
Abril 2025,27,Domingo,,,,,
Abril 2025,28,Lunes,,,,,
Abril 2025,29,Martes,,,,,
Abril 2025,30,Miércoles,,,,,
Mayo 2025,1,Jueves,,,,,
Mayo 2025,2,Viernes,,,,,
Mayo 2025,3,Sábado,,,,,
Mayo 2025,4,Domingo,,,,,
Mayo 2025,5,Lunes,,,,,
Mayo 2025,6,Martes,,,,,
Mayo 2025,7,Miércoles,,,,,
Mayo 2025,8,Jueves,,,,,
Mayo 2025,9,Viernes,,,,,
Mayo 2025,10,Sábado,,,,,
Mayo 2025,11,Domingo,,,,,
Mayo 2025,12,Lunes,,,,,
Mayo 2025,13,Martes,,,,,
Mayo 2025,14,Miércoles,,,,,
Mayo 2025,15,Jueves,,,,,
Mayo 2025,16,Viernes,,,,,
Mayo 2025,17,Sábado,,,,,
Mayo 2025,18,Domingo,,,,,
Mayo 2025,19,Lunes,,,,,
Mayo 2025,20,Martes,,,,,
Mayo 2025,21,Miércoles,,,,,
Mayo 2025,22,Jueves,,,,,
Mayo 2025,23,Viernes,,,,,
Mayo 2025,24,Sábado,,,,,
Mayo 2025,25,Domingo,,,,,
Mayo 2025,26,Lunes,,,,,
Mayo 2025,27,Martes,,,,,
